date,category,title,amount
2020-09-27,outros,Merc 3/6,14.96
2020-09-27,vestuário,Adix 6/9,24.44
2020-09-27,eletrônicos,Limpol 6/6,13.16
2020-09-28,supermercado,Nobreza,10.92
2020-09-28,supermercado,V M,4.49
2020-09-28,,Rec,10
2020-09-28,eletrônicos,Sacolix,13.8
2020-09-28,supermercado,V M,4.99
2020-09-28,supermercado,Duv,9.98
2020-09-28,serviços,Este,7.8
2020-09-29,casa,Assax,166.8
2020-09-29,restaurante,Beriz,16.68
2020-09-29,supermercado,Nutri,11.96
2020-09-30,transporte,Beriz,10
2020-10-02,,Pagamento recebido,-126.97
2020-10-03,eletrônicos,Ling,20.97
2020-10-03,saúde,Tama,9.99
2020-10-03,supermercado,Ev,7.8
2020-10-03,eletrônicos,Stilos,20
2020-10-03,eletrônicos,Paulo,6.89
"2020-10-03,,IOF de ""Ling"",3.25"
2020-10-05,eletrônicos,Paulo,10.47
2020-10-05,lazer,Mia,56.7
2020-10-05,lazer,Mia,99.9
2020-10-06,serviços,Lix,21.9
2020-10-07,supermercado,V M,9.27
2020-10-10,eletrônicos,Paulo,23.25
2020-10-10,supermercado,Nutri,14.72
2020-10-16,eletrônicos,Sacolix,13.2
2020-10-16,supermercado,Nutri,8.67
2020-10-16,eletrônicos,Paulo,8.47
2020-10-17,supermercado,V M,8.28
2020-10-19,supermercado,To Go,12
2020-10-19,restaurante,Mari,8.76
2020-10-19,supermercado,Merc,8.28
2020-10-19,supermercado,Nutri,15.77
2020-10-19,eletrônicos,Paulo,13.16
2020-10-21,supermercado,V M,10.85
2020-10-21,supermercado,Caref,21.64
2020-10-22,supermercado,Nutri,12.7
2020-10-23,eletrônicos,Sacolix,11
2020-10-23,eletrônicos,Paulo,5.08
2020-10-23,transporte,Beriz,6.38
2020-10-23,eletrônicos,Sacolix,6.5
2020-10-23,supermercado,Nutri,15.64
2020-10-24,supermercado,M L,6.49
2020-10-26,supermercado,Nutri,13.85
2020-10-26,supermercado,Nutri,16.66
2020-10-26,eletrônicos,Paulo,10.26
