date,category,title,amount
2020-04-27,eletrônicos,Limpol 4/6,20.64
2020-04-27,outros,Ec 4/6,12.52
2020-04-28,supermercado,Caref,9.9
2020-04-28,eletrônicos,Arruma,30
2020-04-28,saúde,Tama,14.98
2020-04-28,educação,LimpolBR,9.9
2020-04-30,serviços,Renove,22
2020-04-30,,Pagamento recebido,-100.94
2020-04-30,vestuário,Adix 1/9,14.47
2020-05-04,transporte,Beriz,12.26
"2020-05-04,,IOF de ""Ling"",3.23"
2020-05-04,eletrônicos,Ling,20.68
2020-05-04,casa,Assaix,29.42
2020-05-04,transporte,Beriz,26.9
2020-05-06,serviços,Lix,11.9
2020-05-07,eletrônicos,Limpol 1/6,23.19
2020-05-07,transporte,Beriz,15.29
2020-05-08,supermercado,Caref,20.41
2020-05-09,outros,Ipa,5.9
2020-05-09,supermercado,V M,9.27
2020-05-09,supermercado,Nutri,5.81
2020-05-09,eletrônicos,Sacolix,4.75
2020-05-12,supermercado,Caref,25.32
2020-05-13,supermercado,Nutri,10.49
2020-05-13,supermercado,V M,8.28
2020-05-14,eletrônicos,Sacolix,11
2020-05-16,serviços,Bu,24.99
2020-05-16,transporte,Beriz,23.9
2020-05-18,supermercado,Duv,18.84
2020-05-20,supermercado,Maria,9.53
2020-05-20,supermercado,Duv,11.97
2020-05-20,supermercado,Nutri,1.17
2020-05-22,serviços,Este,11.6
2020-05-22,eletrônicos,Sacolix,12
2020-05-22,supermercado,Nutri,24.18
2020-05-23,supermercado,V M,7.27
2020-05-25,outros,Santa,3.69
