date,category,title,amount
2020-06-27,vestuário,Adix 3/9,24.44
2020-06-27,eletrônicos,Limpol 6/6,40.64
2020-06-27,transporte,Beriz,6.6
2020-06-27,eletrônicos,Limpol 3/6,23.16
2020-06-27,outros,Ec 6/6,10.52
2020-06-27,transporte,Beriz,7.59
2020-06-29,supermercado,V M ,9.97
2020-06-29,supermercado,Nutri,10.6
2020-06-30,,Pagamento recebido,-179
2020-07-01,transporte,Beriz,5.35
2020-07-01,transporte,Beriz,18.77
2020-07-02,transporte,Beriz,16.88
"2020-07-03,,IOF de ""Ling"",3.24"
2020-07-03,eletrônicos,Ling,20.85
2020-07-03,supermercado,V M,14.06
2020-07-04,supermercado,M L,9.9
2020-07-06,supermercado,V M ,10.57
2020-07-06,restaurante,Reg,15
2020-07-06,serviços,Lix,21.9
2020-07-07,supermercado,Duv,8.48
2020-07-07,eletrônicos,Sacolix,3.75
2020-07-11,supermercado,V M,8.77
2020-07-11,eletrônicos,Sacolix,10.4
2020-07-13,supermercado,Caref,9.01
2020-07-13,saúde,Caref,24.9
2020-07-14,supermercado,V M,10.27
2020-07-15,supermercado,Caref,23.82
2020-07-16,supermercado,Nutri,10.83
2020-07-17,supermercado,Ev,7.8
2020-07-17,supermercado,M L,9.9
2020-07-18,casa,Assax,127.9
2020-07-18,eletrônicos,Sacolix,9.75
2020-07-18,lazer,Mia,9.67
2020-07-18,transporte,Beriz,10.61
2020-07-20,supermercado,V M,6.98
2020-07-23,supermercado,Caref,35.59
2020-07-24,transporte,Beriz,6.87
2020-07-27,supermercado,Caref,50.2
2020-07-27,eletrônicos,Sacolix,9.5
