date,category,title,amount
2020-01-28,eletrônicos,Limpol 4/4,43.54
2020-01-28,eletrônicos,Limpol 6/8,30.26
2020-01-28,saúde,Tamashi,32.69
2020-01-28,educação,Brlo,9.9
2020-01-31,,Pagamento recebido,-49
2020-02-01,supermercado,Diaz,6
2020-02-03,saúde,Taka Comer,8.38
2020-02-03,restaurante,Yeshualabaxuria,8.79
2020-02-03,serviços,Frog,24
2020-02-03,restaurante,Yeshualabaxuria,3.9
2020-02-04,transporte,Beriz,13.37
2020-02-04,lazer,Mia,25
2020-02-07,restaurante,Yeshualabaxuria,13.6
2020-02-10,saúde,Drogaria,19.9
2020-02-10,supermercado,Carfsim,42.17
2020-02-10,outros,Grto 1/6,12.56
2020-02-14,restaurante,Yeshualabaxuria,11.6
2020-02-15,supermercado,CarrefSim ,48.16
2020-02-15,supermercado,Nutri,12.32
2020-02-17,supermercado,M L,1.42
2020-02-17,supermercado,V M,5.47
2020-02-17,supermercado,Nutri,18.64
2020-02-19,supermercado,Nobreza ,19.15
2020-02-20,supermercado,Diaz,13
2020-02-20,supermercado,M L ,6.63
2020-02-21,supermercado,Nobreza,22.07
2020-02-21,restaurante,Yeshualabaxuria,8.6
2020-02-24,eletrônicos,Limpol 1/6,40.69
