date,category,title,amount
2020-03-28,educação,LimpolBR,9.9
2020-03-28,outros,Ec 3/6,16.52
2020-03-28,eletrônicos,Beriz 8/8,30.26
2020-03-28,eletrônicos,Beriz 3/6,20.64
2020-03-28,vestuário,Epoca 2/2,30.9
2020-03-30,outros,Sacolix,4
2020-03-31,transporte,Beriz,7.65
2020-03-31,transporte,Beriz,6.3
2020-03-31,,Pagamento recebido,-128.52
2020-04-01,supermercado,Caref,29.91
2020-04-02,transporte,Beriz,6.96
2020-04-02,transporte,Beriz,6.96
2020-04-02,transporte,Beriz,7.98
2020-04-03,transporte,Beriz,10.07
2020-04-03,eletrônicos,Ling,31.09
"2020-04-03,,IOF de ""Ling"",3.26"
2020-04-07,eletrônicos,Udix,24.9
2020-04-13,supermercado, Duvali,1.26
2020-04-14,transporte,Beriz,30.69
2020-04-14,supermercado,Caref,30.65
2020-04-14,supermercado,Nobreza ,12.8
2020-04-15,serviços,Busul,12.5
2020-04-16,transporte,Beriz,25
2020-04-19,,Rec,10
2020-04-20,casa,Axai,118.09
2020-04-20,transporte,Beriz,34.89
2020-04-20,transporte,Beriz,10.39
2020-04-21,supermercado,Caref,12.37
2020-04-21,transporte,Beriz,10.11
2020-04-21,transporte,Beriz,32.89
