date,category,title,amount
2020-05-28,supermercado,Duv,7.28
2020-05-28,eletrônicos,Limpo 5/6,20.64
2020-05-28,outros,Ec,10.52
2020-05-28,eletrônicos,Limpol 2/6,23.16
2020-05-28,educação,LimpolBR,9.9
2020-05-28,vestuário,Adix2/9,24.44
2020-05-29,,Pagamento recebido,-142.65
2020-05-31,,Rec,10
2020-06-01,transporte,Beriz,16.29
2020-06-01,casa,Assax,32.34
2020-06-01,supermercado,V M,8.28
2020-06-01,transporte,Beriz,10.46
2020-06-03,eletrônicos,Limpol,25.49
2020-06-03,eletrônicos,Ling,20.44
"2020-06-03,,IOF de ""Ling"",3.22"
2020-06-04,supermercado,V M ,1.77
2020-06-05,eletrônicos,Limpol,20.45
2020-06-06,serviços,Foxer,11.9
2020-06-06,supermercado,V M,19.75
2020-06-08,supermercado,Caref,63.11
2020-06-12,supermercado,Caref,23.15
2020-06-13,supermercado,V M,24.96
2020-06-15,supermercado,Caref,25.21
2020-06-15,transporte,Beriz,6
2020-06-15,transporte,Beriz,6.83
2020-06-16,supermercado,Nutri,10.11
2020-06-16,supermercado,M L,9.9
2020-06-16,supermercado,Maria,13.18
2020-06-16,transporte,Beriz,7.34
2020-06-17,supermercado,Nutri,10.39
2020-06-17,supermercado,Caref,15.24
2020-06-18,transporte,Beriz,10.94
2020-06-18,serviços,Este,2.8
2020-06-18,casa,Assax,10.35
2020-06-18,casa,Ut,15
2020-06-22,supermercado,Duv,5.99
2020-06-22,serviços,Este,11.9
2020-06-23,supermercado,Duv,10.27
