date,category,title,amount
2020-10-28,vestuário,Adix 7/9,24.44
2020-10-28,eletrônicos,Paulo,10.28
2020-10-28,outros,Ec 4/6,14.96
2020-10-28,eletrônicos,Sacolix,11
2020-10-29,,Rec,10
2020-10-29,supermercado,Jose,10.96
2020-10-30,supermercado,V M,13.77
2020-10-30,eletrônicos,Sacolix,8.7
2020-10-30,transporte,Beriz,7.03
2020-10-30,transporte,Beriz,6.6
2020-10-30,supermercado,Nutri,13.82
2020-11-02,transporte,Beriz,12
2020-11-02,casa,Assax,178.28
2020-11-02,supermercado,V M,10.25
2020-11-02,transporte,Beriz,12.89
2020-11-02,transporte,Beriz,10.39
"2020-11-03,,IOF de ""Ling"",3.27"
2020-11-03,eletrônicos,Ling,21.2
2020-11-04,,Dito,-18.73
2020-11-04,,Saldix,18.73
2020-11-06,,Multix,23.97
2020-11-06,,Tax,11.22
2020-11-06,,Pag,-198.73
2020-11-07,,Rec,10
2020-11-07,saúde,Tamas,19.98
2020-11-07,serviços,Lix,21.9
2020-11-09,supermercado,Lix,14.25
2020-11-09,supermercado,Li,17.95
2020-11-09,lazer,Mia,10.9
2020-11-11,eletrônicos,Sacolix,15.4
2020-11-12,eletrônicos,Sacolix,7
2020-11-14,supermercado,V M,16.77
2020-11-16,supermercado,Caref,63.83
2020-11-16,supermercado,Merc,23.93
2020-11-17,supermercado,Merc,7.08
2020-11-17,supermercado,Nutri,10.14
2020-11-18,serviços,Renove,15
2020-11-18,eletrônicos,Sacolix,11
2020-11-19,supermercado,Nutri,19.74
2020-11-19,supermercado,V M,7.78
2020-11-20,supermercado,V M,8.78
2020-11-21,supermercado,Nutri,10.25
2020-11-21,supermercado,Caref,30.36
2020-11-23,supermercado,Nutri,18.41
2020-11-23,supermercado,Caref,23.31
2020-11-23,saúde,Rai 1/2,19.95
2020-11-23,eletrônicos,Sacolix,11
2020-11-25,supermercado,Duv,10.27
2020-11-25,supermercado,Nutri,10.13
