date,category,title,amount
2020-02-26,outros,Grto 2/6,11.52
2020-02-26,eletrônicos,Limpol 7/8,30.26
2020-02-26,eletrônicos,Limpol 2/6,34.64
2020-02-28,educação,LimpolBr,9.9
2020-02-28,vestuário,Epoca 1/2,37.91
2020-02-28,,Pagamento recebido,-67.62
2020-03-02,transporte,Beriz,6.62
2020-03-02,transporte,Beriz,7.28
2020-03-03,lazer,Mia,9.9
2020-03-09,restaurante,Yeshualabaxuria,5.4
2020-03-09,supermercado,Caref,38.06
2020-03-12,supermercado,Ovob,12.4
2020-03-13,supermercado,Sugar,20.21
2020-03-13,restaurante,Marianalva,8
2020-03-14,supermercado,M L,12.48
2020-03-16,supermercado,M L,9.28
2020-03-16,transporte,Beriz,11.2
2020-03-16,supermercado,Caref,21.64
2020-03-16,transporte,Beriz,1
2020-03-16,casa,Assax,42.82
2020-03-17,transporte,Beriz,9.36
2020-03-17,restaurante,Marianalva,7.3
2020-03-17,serviços,Frogpay,30
2020-03-19,,Recarga de celular,10
2020-03-20,supermercado,M L ,3.79
2020-03-21,transporte,Beriz,15.01
2020-03-21,transporte,Beriz,11.45
2020-03-21,supermercado,V M ,2.78
2020-03-23,supermercado,Bem,23.34
2020-03-23,transporte,Beriz,7.49
2020-03-23,transporte,Beriz,7.74
2020-03-24,supermercado,Sugar,12.77
2020-03-24,transporte,Beriz,20.18
2020-03-27,supermercado,Caref,33.79
