date,category,title,amount
2020-08-28,,Pagamento recebido,-185.41
2020-08-28,vestuário,Adix 5/9,44.44
2020-08-28,outros,Merc 2/6,14.96
2020-08-28,eletrônicos,Limpol 5/6,33.16
2020-08-29,supermercado,V M,12.76
2020-08-29,,Rec,10
2020-08-29,supermercado,Caref,10.4
2020-08-31,transporte,Beriz,10.84
2020-08-31,casa,Assax,206.25
2020-09-03,lazer,Mia,29.9
2020-09-03,eletrônicos,Ling,20.86
"2020-09-03,,IOF de ""Ling"",3.24"
2020-09-04,serviços,Maru,20
2020-09-04,supermercado,Duv,7.98
2020-09-07,supermercado,Caref,10.06
2020-09-07,transporte,Beriz,2.95
2020-09-07,serviços,Lix,21.9
2020-09-07,transporte,Beriz,7.03
2020-09-12,eletrônicos,Lo,6.35
2020-09-14,supermercado,V M,8.38
2020-09-15,supermercado,V M,6.78
2020-09-15,supermercado,Nutri,5.85
2020-09-16,saúde,Tama,10.29
2020-09-16,supermercado,Caref,20.87
2020-09-16,supermercado,Nutri,10.56
2020-09-18,supermercado,V M,7.78
2020-09-18,supermercado,Nutri,14.66
2020-09-18,eletrônicos,Sacolix,5.6
2020-09-21,supermercado,V M,4.99
2020-09-21,supermercado,Ev,7.8
2020-09-21,supermercado,Caref,29.52
2020-09-21,eletrônicos,Sacolix,6
2020-09-23,supermercado,Nutri,26.42
2020-09-23,supermercado,Duv,15.26
2020-09-24,supermercado,Duv,17.86
2020-09-26,supermercado,V M,15.26
